sample	covered_sn_ps_on_1240k	total_sn_ps_on_1240k	nr_of_input_reads	nr_of_mapped_reads	nr_of_input_reads_over_30bp	percent_endogenous_dna	nr_of_mapped_reads_over_30bp	percent_endogenous_dna_over_30bp	proportion_of_duplicate_reads	damage_5_bp1	damage_5_bp2	damage_3_bp1	damage_3_bp2	mean_read_length	median_read_length	nr_mt_dna_reads	mean_mt_coverage	mt_to_nuclear_read_ratio	nr_of_unique_mapped_reads	mean_fold_coverage	median_fold_coverage	percent_of_genome_covered_by_at_least_1_read	percent_of_genome_covered_by_at_least_2_reads	percent_of_genome_covered_by_at_least_3_reads	percent_of_genome_covered_by_at_least_4_reads	percent_of_genome_covered_by_at_least_5_reads	percent_gc_of_unique_reads	read_length_std_dev	mean_fold_coverage_on_nuclear_genome	nr_nuclear_dna_reads	nr_of_reads_total	qualimap_general_error_rate	std_err_of_x_relative_coverage	std_err_of_y_relative_coverage	relative_coverage_on_x_chromosome	relative_coverage_on_y_chromosome	nr_sn_ps_used_in_contamination_estimation	nuclear_contamination_m1_ml	nuclear_contamination_m1_ml_error	nuclear_contamination_m1_mom	nuclear_contamination_m1_mom_error	nuclear_contamination_m2_ml	nuclear_contamination_m2_ml_error	nuclear_contamination_m2_mom	nuclear_contamination_m2_mom_error	source
Indrko001_ss	238013	1233013	29994578	19537803	15142820	65.137783	15142820	50.485191	0.858793	0.18098443447924692	0.00754717771582142	0.01026632565823885	0.00752170612054197	43.07947931937004	41.0	4185	13.224213893415415	451.5	2138265	0.4133	0	29.050788596713904	8.531621321105293	2.5470128863199335	0.7892860821418752	0.2506867324188796	44.9118648046004	10.183612204041845	0.02928980288114169	2134080	2138265	53.8	0.00464026237905898	0.00642161499789388	0.4436210393888593	0.5602260861556334	459	0.012052	2.598729e-15	0.011721	0.006513224	0.004004	7.239317e-16	0.002808	0.006617912	1240k
Indrko002_ss	1043584	1233013	24126000	19885144	17679249	82.422051	17679249	73.278824	0.446108	0.22690505725232488	0.01267251909144205	0.01766200051940912	0.01730299266671254	56.00116640401759	55.0	8534	30.291266823586216	173.46	19583333	8.5681	6	91.22142264517892	82.54519619825582	74.54455062517589	67.16758055267869	60.33075077067314	44.18443072817512	14.819166929238486	0.17462704020946432	9783868	19583333	53.5	0.00102860271787936	0.0013978975786419	0.4507474986858653	0.5492883346840229	8287	0.008682	2.921288e-14	0.009919	0.001302512	0.006308	6.584742e-14	0.00781	0.002311359	1240k
Indrko003_ss	755271	1233013	27231506	17193265	13931551	63.1374	13931551	51.159679	0.791559	0.21595926357880707	0.01170276301608812	0.01485456214681211	0.01193913278074475	52.862001484114494	51.0	1166	3.976039592009174	81.3	6558064	2.4268	2	74.64357634509936	53.57713179017577	37.40147103071906	25.621384364966143	17.32082305701562	44.97434951716738	13.98261885422384	0.04890602389786685	2902739	6558064	51.25999999999999	0.00189359950166803	0.00255284396445177	0.4359111272240307	0.522794022505495	2128	0.012197	9.120504e-15	0.012407	0.003113142	0.010564	1.616089e-14	0.011068	0.004641471	1240k
Indrko004_ss	130952	1233013	19611890	12075911	6836131	61.574438	6836131	34.857074	0.901528	0.17287169347645748	0.00803258936255665	0.01060955754745674	0.00867427878886914	44.21910735690462	40.0	313	0.9931196813326092	104.74	1622443	0.2046	0	16.635753232123264	2.9856132903708232	0.5906669272748949	0.13357523399996593	0.04144319646264881	45.21483082325928	12.438942261145458	0.00948213685731197	672856	1622443	53.48	0.00733503154817689	0.00843905542241234	0.5430127444617836	0.477065198929055	92	-0.001425	2.0685260000000002e-18	-0.003741	0.002679765	-0.001494	1.2411160000000002e-17	-0.003741	0.003983601	1240k
Indrus001_ss	565601	1233013	23185314	17996483	14902203	77.620182	14902203	64.27432	0.719717	0.11559013380071	0.00537544095414077	0.0172461116193962	0.0213956227303955	N/A	N/A	15166	55.85231456334118	757.68	4176835	1.3126	1	61.52887276938686	34.829316479226094	18.286019693223025	9.014260190281854	4.21933913105539	43.59074340765756	N/A	0.07371456594236735	4161669	4176835	48.58	0.00376424968229719	4.286652987223e-4	0.9104966526984636	0.00806436626612267	6661	0.287608	1.839261e-12	0.274916	0.005751763	0.273698	8.063755e-13	0.27371	0.0100683	1240k
Indrus003_ss	504371	1233013	18499674	11813680	10025578	63.858855	10025578	54.193268	0.73582	0.10624843161857	0.00749760414905012	0.0203472464056515	0.0208624427848711	N/A	N/A	10954	40.836864023175814	784.47	2648555	1.0455	1	55.72568983457595	27.742286577675987	12.539932668998624	5.266530036585178	2.0728897424439157	43.3330061055908	N/A	0.05205693779454501	2637601	2648555	48.370000000000005	0.00427271878296251	5.766491995944e-4	0.9330670176031792	0.01161724361565243	5431	0.264597	1.014453e-12	0.253765	0.006230701	0.271431	1.701663e-12	0.272433	0.01104341	1240k
Indrus007_ss	448114	1233013	28343498	21676072	17795634	76.476347	17795634	62.785595	0.766151	0.139799212772544	0.00824145835607466	0.0104750168048398	0.0073679494200229	N/A	N/A	19711	79.00271591526344	1283.94	4161483	0.9241	1	50.21398801148082	23.438682317218067	10.525679777909884	4.629715988395905	2.0242284550122345	44.10417636016495	N/A	0.06153132027646724	4141772	4161483	51.78	0.0044989259805511	5.5967190169319e-4	0.913859984378636	0.00966011029541949	4373	0.279459	7.120689e-13	0.272511	0.007207288	0.274161	3.707163e-13	0.274321	0.01242594	1240k
Indrus010_ss	530578	1233013	23549717	16941464	13678729	71.939141	13678729	58.084473	0.747359	0.140304182509506	0.00872703765555136	0.0160830618892508	0.0136955240125164	N/A	N/A	15238	54.78833967046895	902.97	3455811	1.1423	1	57.83515664473935	30.5674798238137	14.752480306371464	6.621098074391754	2.746524164789828	44.22621331008427	N/A	0.06067572731225947	3440573	3455811	50.81	0.00397901752930442	4.9160241475836e-4	0.8867462970048436	0.00923516010083828	5644	0.242222	2.918995e-14	0.238689	0.006068337	0.228883	1.002883e-12	0.22727	0.01013727	1240k
Indrus014_ss	699819	1233013	18245290	15375027	13287503	84.268471	13287503	72.827031	0.537773	0.191364721197657	0.0114418957757172	0.0127528145860317	0.0140547146751904	N/A	N/A	27126	111.04792081598168	1082.59	6141848	2.0909	1	69.83503012539202	48.54109405172533	32.86810439143788	21.72369634383417	14.040322364808803	44.67007902897727	N/A	0.10257616404863217	6114722	6141848	53.66	0.00288719909873379	3.9404947387287e-4	0.8563075310363286	0.01086866193882654	9110	0.314689	3.072866e-13	0.296309	0.004913723	0.300027	3.411941e-12	0.302103	0.00907199	1240k
Indrus023_ss	621000	1233013	23105202	15323316	13173494	66.319766	13173494	57.015273	0.7129	0.163936714751047	0.0106346871818079	0.01820771030414	0.0174604714327287	N/A	N/A	15953	61.208642645905	872.61	3782108	1.48	1	65.54407779966634	38.90988983895547	21.540811005236765	11.347568922630986	5.664741572067772	43.34195379432907	N/A	0.07014426811584953	3766155	3782108	50.59	0.00251315517936804	0.00329053505514607	0.4682751282953164	0.5303464543501039	3548	0.010275	5.578977e-15	0.009599	0.002116781	0.009448	1.177784e-14	0.008539	0.003257382	1240k
